timestamp,sample_id,temperature_c
2023-01-10 00:00:00,s0001,-5.6401173699888
2023-01-10 00:00:00,s0002,-5.228375358797777
2023-01-10 00:00:00,s0003,-5.570523273424977
2023-01-10 00:00:00,s0004,-5.546312681465022
2023-01-10 00:00:00,s0005,-5.047527668118128
2023-01-10 00:00:00,s0006,-5.296273118739572
2023-01-10 00:00:00,s0007,-4.746598073820481
2023-01-10 00:00:00,s0008,-5.37293808373461
2023-01-10 00:00:00,s0009,-4.949946715585981
2023-01-10 00:00:00,s0010,-5.225426658049051
2023-01-10 00:00:00,s0011,-5.018773731824406
2023-01-10 00:00:00,s0012,-5.081393546133524
2023-01-10 00:00:00,s0013,-5.213283725176958
2023-01-10 00:00:00,s0014,-4.717282790560249
2023-01-10 00:00:00,s0015,-5.34845677725151
2023-01-10 00:00:00,s0016,-5.520426706429459
2023-01-10 00:00:00,s0017,-4.999919222817926
2023-01-10 00:00:00,s0018,-4.825418394407022
2023-01-10 00:00:00,s0019,-5.662782328608298
2023-01-10 00:00:00,s0020,-5.237343245615544
2023-01-10 00:00:00,s0021,-4.777114828069736
2023-01-10 00:00:00,s0022,-4.925588721706254
2023-01-10 00:00:00,s0023,-4.6738984284830085
2023-01-10 00:00:00,s0024,-5.152353809352508
2023-01-10 00:00:00,s0025,-5.018727571625744
2023-01-10 00:00:00,s0026,-5.3902685131395
2023-01-10 00:00:00,s0027,-4.71990736190962
2023-01-10 00:00:00,s0028,-5.323908234993373
2023-01-10 00:00:00,s0029,-4.93713239648638
2023-01-10 00:00:00,s0030,-5.2856596526059025
2023-01-10 00:00:00,s0031,-5.120755883356805
2023-01-10 00:00:00,s0032,-4.95659528963584
2023-01-10 00:00:00,s0033,-5.175715357146476
2023-01-10 00:00:00,s0034,-4.761943479235685
2023-01-10 00:00:00,s0035,-5.26886487341779
2023-01-10 00:00:00,s0036,-5.03215850395315
2023-01-10 00:00:00,s0037,-5.348821764823502
2023-01-10 00:00:00,s0038,-5.280446390176176
2023-01-10 00:00:00,s0039,-5.247301755068648
2023-01-10 00:00:00,s0040,-5.5738727536712895
2023-01-10 00:00:00,s0041,-5.609293198838261
2023-01-10 00:00:00,s0042,-5.0109393660124075
2023-01-10 00:00:00,s0043,-5.023381225426981
2023-01-10 00:00:00,s0044,-5.015699258764956
2023-01-10 00:00:00,s0045,-5.684073349699521
2023-01-10 00:00:00,s0046,-5.365257808735431
2023-01-10 00:00:00,s0047,-5.499045218856445
2023-01-10 00:00:00,s0048,-4.895936562373729
2023-01-10 00:00:00,s0049,-4.810221893216769
2023-01-10 00:00:00,s0050,-5.4482574743190995
2023-01-10 00:00:00,s0051,-5.010566037320555
2023-01-10 00:00:00,s0052,-5.570177473351099
2023-01-10 00:00:00,s0053,-5.418668349766827
2023-01-10 00:00:00,s0054,-5.5605212629661755
2023-01-10 00:00:00,s0055,-5.40997181862022
2023-01-10 00:00:00,s0056,-5.003408453231134
2023-01-10 00:00:00,s0057,-4.758575766307837
2023-01-10 00:00:00,s0058,-5.494147782153138
2023-01-10 00:00:00,s0059,-5.141270184119135
2023-01-10 00:00:00,s0060,-4.975708228272479
2023-01-10 00:00:00,s0061,-4.714309163616094
2023-01-10 00:00:00,s0062,-5.070621791040312
2023-01-10 00:00:00,s0063,-5.43950034272923
2023-01-10 00:00:00,s0064,-5.05459927419098
2023-01-10 00:00:00,s0065,-5.3715510570288085
2023-01-10 00:00:00,s0066,-4.690192861837577
