timestamp,sample_id,temperature_c
2023-01-10 00:00:00,s0001,-5.202923052910606
2023-01-10 00:00:00,s0002,-5.272064484764865
2023-01-10 00:00:00,s0003,-5.023891037253253
2023-01-10 00:00:00,s0004,-5.232699824423095
2023-01-10 00:00:00,s0005,-5.247032580781031
2023-01-10 00:00:00,s0006,-5.163825398874448
2023-01-10 00:00:00,s0007,-4.841848447505227
2023-01-10 00:00:00,s0008,-5.456100391329897
2023-01-10 00:00:00,s0009,-5.029288776575712
2023-01-10 00:00:00,s0010,-5.5679127209578345
2023-01-10 00:00:00,s0011,-5.1410543399815944
2023-01-10 00:00:00,s0012,-4.866423812277396
2023-01-10 00:00:00,s0013,-5.08616192440421
2023-01-10 00:00:00,s0014,-5.15048937865471
2023-01-10 00:00:00,s0015,-5.298356486435392
2023-01-10 00:00:00,s0016,-5.1787203945102265
2023-01-10 00:00:00,s0017,-5.235982214643115
2023-01-10 00:00:00,s0018,-5.343971596289996
2023-01-10 00:00:00,s0019,-5.243630230025384
2023-01-10 00:00:00,s0020,-5.144875434637109
2023-01-10 00:00:00,s0021,-5.340177292624845
2023-01-10 00:00:00,s0022,-5.34807852778367
2023-01-10 00:00:00,s0023,-5.460122781562354
2023-01-10 00:00:00,s0024,-5.105971972344978
2023-01-10 00:00:00,s0025,-5.074702939535142
2023-01-10 00:00:00,s0026,-5.138144368107272
2023-01-10 00:00:00,s0027,-4.989784655964629
2023-01-10 00:00:00,s0028,-5.096139476747807
2023-01-10 00:00:00,s0029,-5.1057118839831785
2023-01-10 00:00:00,s0030,-5.123545854827193
2023-01-10 00:00:00,s0031,-5.203514880550494
2023-01-10 00:00:00,s0032,-5.292364001055251
2023-01-10 00:00:00,s0033,-4.737165583288142
2023-01-10 00:00:00,s0034,-5.276411586537211
2023-01-10 00:00:00,s0035,-5.319680398376423
2023-01-10 00:00:00,s0036,-5.097217191016675
2023-01-10 00:00:00,s0037,-5.134059936354206
2023-01-10 00:00:00,s0038,-5.469133080456524
2023-01-10 00:00:00,s0039,-4.957927142554799
2023-01-10 00:00:00,s0040,-5.204051790923897
2023-01-10 00:00:00,s0041,-5.409696877480176
2023-01-10 00:00:00,s0042,-4.944556574081242
2023-01-10 00:00:00,s0043,-5.058450884704981
2023-01-10 00:00:00,s0044,-5.440766211115085
2023-01-10 00:00:00,s0045,-4.825547072057865
2023-01-10 00:00:00,s0046,-5.051751671456913
2023-01-10 00:00:00,s0047,-5.187062265925622
2023-01-10 00:00:00,s0048,-4.863362409989003
2023-01-10 00:00:00,s0049,-5.1527804368154095
2023-01-10 00:00:00,s0050,-5.1906800816118075
2023-01-10 00:00:00,s0051,-5.318552274221949
2023-01-10 00:00:00,s0052,-4.596574770767488
2023-01-10 00:00:00,s0053,-5.0886023034941825
2023-01-10 00:00:00,s0054,-5.1820307955116265
2023-01-10 00:00:00,s0055,-5.344782607337615
2023-01-10 00:00:00,s0056,-5.158720393057411
2023-01-10 00:00:00,s0057,-5.199117499528283
2023-01-10 00:00:00,s0058,-5.454708460686661
2023-01-10 00:00:00,s0059,-5.482688705450342
2023-01-10 00:00:00,s0060,-5.0706921009207475
2023-01-10 00:00:00,s0061,-5.711257823245772
2023-01-10 00:00:00,s0062,-5.1434536752922675
2023-01-10 00:00:00,s0063,-5.281697059535093
2023-01-10 00:00:00,s0064,-4.920394095272071
2023-01-10 00:00:00,s0065,-5.28480885962246
2023-01-10 00:00:00,s0066,-5.05161275003641
2023-01-10 00:00:00,s0067,-5.265279777151685
2023-01-10 00:00:00,s0068,-5.16199330316926
2023-01-10 00:00:00,s0069,-4.439837368293716
2023-01-10 00:00:00,s0070,-5.278556500098288
2023-01-10 00:00:00,s0071,-4.983436850180233
